date,5g network,5g coronavirus,5g is coronavirus,5g coronavirus conspiracy,5g network radiation,5g towers near me,side effects of 5g network,5g network dangerous
1/1/2020,5,0,0,0,0,0,0,0
1/2/2020,6,0,0,0,0,2,0,0
1/3/2020,5,0,0,0,13,0,0,0
1/4/2020,4,0,0,0,0,2,0,0
1/5/2020,11,0,0,0,0,0,0,0
1/6/2020,7,0,0,0,13,0,0,1
1/7/2020,5,0,0,0,0,0,0,0
1/8/2020,3,0,0,0,0,0,0,0
1/9/2020,6,0,0,0,0,0,0,0
1/10/2020,8,0,0,0,0,3,0,0
1/11/2020,3,0,0,0,0,2,0,0
1/12/2020,7,0,0,0,0,0,0,0
1/13/2020,7,0,0,0,0,0,0,0
1/14/2020,8,0,0,0,0,0,0,1
1/15/2020,10,0,0,0,0,0,0,1
1/16/2020,8,0,0,0,0,2,0,0
1/17/2020,7,0,0,0,0,2,0,0
1/18/2020,3,0,0,0,0,2,0,0
1/19/2020,7,0,0,0,0,2,0,1
1/20/2020,9,0,0,0,0,0,0,1
1/21/2020,4,0,0,0,0,2,0,0
1/22/2020,5,0,0,0,0,2,0,0
1/23/2020,7,0,2,0,12,0,0,0
1/24/2020,7,0,0,0,0,0,0,0
1/25/2020,7,0,0,0,0,4,0,0
1/26/2020,7,1,0,0,13,0,0,0
1/27/2020,8,2,1,0,0,2,0,0
1/28/2020,10,3,1,0,0,0,0,0
1/29/2020,9,2,5,0,0,2,0,0
1/30/2020,8,1,2,0,0,0,0,0
1/31/2020,3,1,3,0,0,0,0,0
2/1/2020,6,1,7,0,0,0,0,0
2/2/2020,8,1,2,2,0,0,0,0
2/3/2020,12,1,1,2,0,3,0,0
2/4/2020,7,1,2,0,0,0,0,0
2/5/2020,5,0,2,0,0,0,0,0
2/6/2020,9,0,2,0,0,2,0,0
2/7/2020,7,1,3,0,0,0,0,0
2/8/2020,4,1,0,0,0,0,0,0
2/9/2020,7,1,0,0,0,2,0,0
2/10/2020,5,1,1,0,0,0,0,0
2/11/2020,11,2,0,2,0,2,0,0
2/12/2020,7,0,1,2,0,0,0,1
2/13/2020,8,1,2,2,12,2,0,0
2/14/2020,8,1,0,0,0,4,0,0
2/15/2020,8,0,2,0,14,0,0,0
2/16/2020,6,1,0,0,0,0,0,1
2/17/2020,11,2,3,0,0,2,36,0
2/18/2020,6,0,1,0,12,4,0,0
2/19/2020,7,0,1,0,0,0,0,0
2/20/2020,5,1,0,0,0,2,0,0
2/21/2020,7,2,0,0,0,0,0,0
2/22/2020,9,0,0,0,0,2,0,0
2/23/2020,8,1,3,0,0,2,0,1
2/24/2020,9,2,1,2,0,0,0,0
2/25/2020,8,4,3,0,0,0,0,0
2/26/2020,8,4,3,2,11,2,0,0
2/27/2020,7,2,6,0,0,2,0,0
2/28/2020,8,5,3,2,0,3,0,0
2/29/2020,7,3,3,0,13,2,0,0
3/1/2020,6,4,3,0,0,2,0,0
3/2/2020,6,5,8,0,0,3,0,1
3/3/2020,9,5,3,2,0,3,0,0
3/4/2020,9,5,5,0,0,2,0,0
3/5/2020,7,4,7,0,0,0,0,0
3/6/2020,8,3,2,2,0,3,0,0
3/7/2020,5,4,5,2,0,6,0,0
3/8/2020,7,4,7,2,0,2,0,0
3/9/2020,8,7,4,6,0,3,0,0
3/10/2020,6,10,10,8,23,8,68,0
3/11/2020,7,12,10,4,11,5,0,1
3/12/2020,10,16,22,6,11,2,0,1
3/13/2020,9,15,22,8,12,2,0,2
3/14/2020,11,18,15,7,13,5,39,2
3/15/2020,14,23,19,8,13,3,0,0
3/16/2020,12,23,25,8,11,10,0,0
3/17/2020,12,26,30,15,34,7,0,1
3/18/2020,17,22,20,9,51,4,0,0
3/19/2020,13,20,18,9,23,4,0,0
3/20/2020,12,18,21,5,11,3,33,1
3/21/2020,15,17,12,7,13,7,0,2
3/22/2020,14,22,15,2,13,6,0,1
3/23/2020,12,15,7,9,21,7,0,0
3/24/2020,11,15,13,10,11,5,0,0
3/25/2020,13,12,16,10,0,5,0,1
3/26/2020,11,12,18,13,17,15,0,0
3/27/2020,19,19,24,18,16,9,0,0
3/28/2020,24,26,22,16,12,5,0,1
3/29/2020,24,23,30,29,31,21,55,3
3/30/2020,23,27,31,23,48,31,64,1
3/31/2020,31,33,40,26,70,33,0,3
4/1/2020,37,47,59,41,27,53,97,2
4/2/2020,39,61,67,56,65,56,0,5
4/3/2020,55,68,69,57,61,83,100,3
4/4/2020,90,89,100,59,93,91,37,8
4/5/2020,100,100,93,100,100,86,37,15
4/6/2020,83,82,80,66,92,71,81,15
4/7/2020,84,66,59,29,77,68,66,58
4/8/2020,76,51,48,19,50,60,0,100
4/9/2020,65,42,25,16,46,100,0,91
4/10/2020,54,31,21,19,35,74,35,58
4/11/2020,33,29,19,20,19,67,0,12
4/12/2020,21,22,17,20,13,46,0,1
4/13/2020,25,22,22,16,39,24,0,2
4/14/2020,20,27,20,14,11,7,0,1
4/15/2020,15,19,14,19,0,8,0,1
4/16/2020,16,17,20,7,11,6,0,3
4/17/2020,13,22,16,5,0,6,0,0
4/18/2020,17,22,8,6,18,6,0,0
4/19/2020,22,17,13,8,25,6,0,0
